,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-SF
FTA,0.070622319,0.440129088,0.61409647,0.715811938,0.862734961,0.829813114,0.253680411,0.413111692,0.434692351,0.039723326,0.861419215,0.859732069,0.189224149,0.171504787,0.984944948,1,0.170765664,0.472910132,0.718971697,0.685781993,0.618401294,0.558204252,0.449151575,0.819889482,0.573521652,0.890816679,0.140563618,-0.027955324,-0.042070805,0.009601892,0.034253618,-0.015525762,0.082838463,-0.110311763,-0.021075299,-0.002503005
FT%,0.178017001,0.286689454,0.214015708,0.290323585,0.239864209,0.282794627,-0.106786111,0.362401844,0.357651722,0.321202053,0.125816907,0.158170915,-0.143705731,0.041939231,0.276567954,0.170765664,1,-0.111532092,0.09223471,0.032211044,0.211417069,0.140910329,-0.02001363,0.178849776,0.083911529,0.28250568,-0.132759599,0.016016409,-0.074300914,0.016451365,0.159596947,0.016647254,0.0427662,0.012498721,0.02698397,0.002403665
ORB,-0.019938275,0.329937575,0.408770561,0.410194817,0.454331818,0.325507385,0.451750738,-0.131146204,-0.145703371,-0.165812942,0.606683772,0.53362259,0.335360345,0.267805731,0.398088706,0.472910132,-0.111532092,1,0.733210698,0.860112526,0.097299868,0.292457213,0.669417308,0.341372278,0.57644152,0.397562693,0.605187887,-0.010845791,0.066063352,-0.003035643,-0.242546394,-0.077133426,0.028204951,-0.300278271,-0.040766199,-0.018696653
DRB,0.105934332,0.504410437,0.643152486,0.721018597,0.735154845,0.664894694,0.346022172,0.272167426,0.277387282,0.029423489,0.768808949,0.732910487,0.293166446,0.255383925,0.681280023,0.718971697,0.09223471,0.733210698,1,0.977275261,0.430575842,0.527070303,0.65919281,0.66012211,0.692887379,0.714339582,0.346517309,-0.020329856,0.097242765,0.026757227,-0.164164987,0.007940427,-0.002469238,-0.245977728,-0.013214747,-0.022391053
TRB,0.072670311,0.47990011,0.608543039,0.666740971,0.691711109,0.598734612,0.400809718,0.161472694,0.160760733,-0.027946805,0.764972627,0.715262891,0.324956344,0.274999434,0.634182153,0.685781993,0.032211044,0.860112526,0.977275261,1,0.352697728,0.485078978,0.70199127,0.60031614,0.696891111,0.658347075,0.449230776,-0.017329515,0.093081609,0.020332381,-0.199446334,-0.017152686,0.006968482,-0.27879143,-0.022541249,-0.022541249
AST,0.157398767,0.425733539,0.572961506,0.693287814,0.685144304,0.722898929,0.065991047,0.480926128,0.512064303,0.136797997,0.617486573,0.666972566,0.026269757,0.064948515,0.628520953,0.618401294,0.211417069,0.097299868,0.430575842,0.352697728,1,0.677431664,0.128631013,0.846355929,0.421069307,0.694677909,-0.127945229,-0.042403959,-0.191431396,-0.012896725,0.464589794,-0.102887528,0.042646305,-0.051131571,-0.017693988,0.00928194
STL,0.085050695,0.474295732,0.621591679,0.753743932,0.662250032,0.682792691,0.108548367,0.477484725,0.496256899,0.111584009,0.591140852,0.621140982,0.094026014,0.100236789,0.548720922,0.558204252,0.140910329,0.292457213,0.527070303,0.485078978,0.677431664,1,0.324767325,0.670470722,0.56534281,0.660146829,-0.077412933,-0.054845429,-0.142121395,-0.010102365,0.159114517,0.087766558,0.109212473,-0.025001336,-0.022940799,-0.01240473
BLK,0.004586953,0.354457532,0.436864736,0.428582768,0.443354396,0.340472005,0.403966188,-0.002765245,-0.005675246,-0.06650507,0.537606913,0.467215872,0.342169332,0.282528712,0.399300326,0.449151575,-0.02001363,0.669417308,0.65919281,0.70199127,0.128631013,0.324767325,1,0.335815746,0.574159761,0.406560692,0.518467653,0.031707009,0.02935318,-0.0138754,-0.211707381,-0.036618077,0.001318736,-0.256535437,-0.020535829,-0.009802111
TOV,0.080857616,0.506143272,0.673364804,0.784620465,0.845574091,0.853108049,0.161921239,0.498266462,0.527553937,0.102815627,0.803019003,0.834114294,0.095623901,0.121042831,0.810876668,0.819889482,0.178849776,0.341372278,0.66012211,0.60031614,0.846355929,0.670470722,0.335815746,1,0.614525219,0.852439102,0.01491744,-0.036205722,-0.089163471,0.002638474,0.209587266,-0.077914099,0.025944991,-0.057257869,-0.014600694,0.007352122
PF,0.097664492,0.564960538,0.589589262,0.751745421,0.638386096,0.60035268,0.339499099,0.346342003,0.344644454,0.07185398,0.619258526,0.60289495,0.294443487,0.290401535,0.535377504,0.573521652,0.083911529,0.57644152,0.692887379,0.696891111,0.421069307,0.56534281,0.574159761,0.614525219,1,0.62338586,0.256116866,-0.013474427,0.019987867,0.020640762,-0.062403025,-0.047283317,0.020640762,-0.14820991,-0.012196656,-0.006841041
